Sr. No.,Police Station,Year,Head,Date,Place_of_offence,Key_location,Week_no.,Geo_Location,Crowd_Density,Crime_Location_Type
1,Anjuna_Ps,2019,Theft (Auto Theft),03-03-2019,Munag Vaddo Assagao,Assagao,1,"(15.6000, 73.7500)",Low,LocalArea
2,Anjuna_Ps,2019,Theft (Auto Theft),14-10-2019,Chapora Bardez Goa,Chapora,2,"(15.6032, 73.7421)",Medium,ClubArea
3,Anjuna_Ps,2019,Theft (Auto Theft),22-10-2019,Near Gram Panchayat Building Assagao,Assagao,4,"(15.6000, 73.7500)",Low,LocalArea
4,Anjuna_Ps,2019,Theft (Auto Theft),26-10-2019,Arpora Bardez Goa,Arpora,4,"(15.5728, 73.7677)",Medium,ClubArea
5,Anjuna_Ps,2019,Theft (Auto Theft),22-11-2019,Vale Vaddo Assagao,Assagao,4,"(15.6000, 73.7500)",Low,LocalArea
6,Anjuna_Ps,2019,Theft (Auto Theft),19-12-2019,Near 23 Rest Arpora,Arpora,3,"(15.5728, 73.7677)",Medium,ClubArea
7,Anjuna_Ps,2019,Theft (House Theft),24-02-2019,Villa No.2 Candy Flas Nagoa,Nagoa,4,"(15.5700, 73.7700)",Low,InHouse
8,Anjuna_Ps,2019,Theft (House Theft),10-08-2019,Jungle Guest House Vagator,Vagator,2,"(15.5916, 73.7441)",Medium,InHouse
9,Anjuna_Ps,2019,Theft (House Theft),11-10-2019,Shri Siddeshwar Devasthan Chapora,Chapora,2,"(15.6032, 73.7421)",Medium,LocalArea
10,Anjuna_Ps,2019,Theft (House Theft),09-12-2019,Bloo Resort Vagator,Vagator,2,"(15.5916, 73.7441)",Medium,InHouse
11,Anjuna_Ps,2019,Theft (House Theft),17-12-2019,Villa No.3 & 4 Igrezwaddo Marna Siolim,Siolim,3,"(15.6201, 73.7772)",Low,InHouse
12,Anjuna_Ps,2019,Theft (House Theft),21-12-2019,Villa Goa Soutawadda Assagao,Assagao,3,"(15.6000, 73.7500)",Low,InHouse
13,Anjuna_Ps,2019,Theft (HBT Night),13-03-2019,Hno.1317 Bammon Vaddo Siolim,Siolim,2,"(15.6201, 73.7772)",Low,InHouse
14,Anjuna_Ps,2019,Theft (HBT Night),15-03-2019,Hno.466 Temar Boutavaddo Assagao,Assagao,3,"(15.6000, 73.7500)",Low,InHouse
15,Anjuna_Ps,2019,Theft (HBT Night),31-03-2019,563/1 Village Anjuna,Anjuna,5,"(15.5849, 73.7439)",Medium,InHouse
16,Anjuna_Ps,2019,Theft (HBT Night),05-12-2019,Hno.1046 Deulwadddo Vagator,Vagator,1,"(15.5916, 73.7441)",Medium,InHouse
17,Anjuna_Ps,2019,Assault (Hurt),26-03-2019,Nagoa,Nagoa,4,"(15.5700, 73.7700)",Low,LocalArea
18,Anjuna_Ps,2019,Assault (Hurt),21-04-2019,Dabholwaddo Chapora,Chapora,3,"(15.6032, 73.7421)",Medium,LocalArea
19,Anjuna_Ps,2019,Assault (Hurt),10-08-2019,Fuldem Vaddo Nagoa,Nagoa,2,"(15.5700, 73.7700)",Low,LocalArea
20,Anjuna_Ps,2019,Assault (Hurt),19-09-2019,Near Rocket Berger Rest Anjuna,Anjuna,3,"(15.5849, 73.7439)",Medium,ClubArea
21,Anjuna_Ps,2019,Assault (Hurt),04-11-2019,Hno.387 Sim Waddo Arpora,Arpora,1,"(15.5728, 73.7677)",Medium,InHouse
22,Anjuna_Ps,2019,Drug Related (NDPS),07-01-2019,Near Tembi Ground Anjuna,Anjuna,1,"(15.5849, 73.7439)",Medium,LocalArea
23,Anjuna_Ps,2019,Drug Related (NDPS),31-01-2019,Near Mamos Corner Bar & Rest Vaddy Siolim,Siolim,5,"(15.6201, 73.7772)",Medium,ClubArea
24,Anjuna_Ps,2019,Drug Related (NDPS),07-02-2019,Near Ajoba Furniture Siolim,Siolim,1,"(15.6201, 73.7772)",Medium,MarketZone
25,Anjuna_Ps,2019,Drug Related (NDPS),12-02-2019,Behind Vagator Football Ground Vagator,Vagator,2,"(15.5916, 73.7441)",Medium,LocalArea
26,Anjuna_Ps,2019,Drug Related (NDPS),12-04-2019,Chaudiwaddo Marna Siolim,Siolim,2,"(15.6201, 73.7772)",Low,LocalArea
27,Anjuna_Ps,2019,Drug Related (NDPS),22-05-2019,Sorrranto Vaddo Anjuna,Anjuna,4,"(15.5849, 73.7439)",Medium,LocalArea
28,Anjuna_Ps,2019,Drug Related (NDPS),24-09-2019,Diwan Bhati Arpora,Arpora,4,"(15.5728, 73.7677)",Medium,LocalArea
29,Anjuna_Ps,2019,Drug Related (NDPS),27-09-2019,Near Tembi Ground Anjuna,Vagator,4,"(15.5916, 73.7441)",Medium,LocalArea
30,Anjuna_Ps,2019,Drug Related (NDPS),17-10-2019,Behind Vagator Football Ground Vagator,Anjuna,3,"(15.5849, 73.7439)",Medium,LocalArea
31,Anjuna_Ps,2019,Drug Related (NDPS),31-10-2019,Y Junction Gumal Vaddo Anjuna,Anjuna,5,"(15.5849, 73.7439)",Medium,OnRoad
32,Anjuna_Ps,2019,Drug Related (NDPS),12-11-2019,Dias Vaddo Nagoa,Nagoa,2,"(15.5700, 73.7700)",Low,LocalArea
33,Anjuna_Ps,2019,Drug Related (NDPS),26-11-2019,Near St Anthony Hospital Chiwar Anjuna,Anjuna,4,"(15.5849, 73.7439)",High,NearCollege
34,Anjuna_Ps,2019,Drug Related (NDPS),30-12-2019,Near Lake Talyacho Band Anjuna,Anjuna,5,"(15.5849, 73.7439)",Medium,LocalArea
35,Anjuna_Ps,2020,Theft (Auto Theft),24-02-2020,Grand Chiwar Anjuna,Anjuna,4,"(15.5849, 73.7439)",Medium,LocalArea
36,Anjuna_Ps,2020,Theft (Auto Theft),26-06-2020,Va Vegas Super Market Arpora,Arpora,4,"(15.5728, 73.7677)",High,MarketZone
37,Anjuna_Ps,2020,Theft (Auto Theft),01-07-2020,Near Corporation Bank Siolim,Siolim,1,"(15.6201, 73.7772)",High,MarketZone
38,Anjuna_Ps,2020,Theft (Auto Theft),02-11-2020,Huddo Waddo Chapora,Chapora,1,"(15.6032, 73.7421)",Medium,LocalArea
39,Anjuna_Ps,2020,Theft (House Theft),02-01-2020,"Room No.3, Barsa Guest House Assagao",Assagao,1,"(15.6000, 73.7500)",Low,InHouse
40,Anjuna_Ps,2020,Theft (House Theft),18-01-2020,Curlies Rest Dando Anjuna,Anjuna,3,"(15.5849, 73.7439)",High,ClubArea
41,Anjuna_Ps,2020,Theft (House Theft),20-04-2020,Hotel Regent Laguna Anjuna,Anjuna,3,"(15.5850, 73.7435)",High,InHouse
42,Anjuna_Ps,2020,Theft (House Theft),30-11-2020,Charvi Romio Anjuna,Anjuna,5,"(15.5849, 73.7439)",Medium,InHouse
43,Anjuna_Ps,2020,Theft (HBT Night),12-03-2020,BSNL Exchange Sauta Vaddo Assagao,Assagao,2,"(15.6002, 73.7501)",Low,MarketZone
44,Anjuna_Ps,2020,Theft (HBT Night),23-03-2020,Co-Operative Society Chapora,Chapora,4,"(15.6032, 73.7421)",Medium,MarketZone
45,Anjuna_Ps,2020,Theft (HBT Night),14-04-2020,Flat No.95/2 Vadi Siolim,Siolim,2,"(15.6201, 73.7772)",Low,InHouse
46,Anjuna_Ps,2020,Assault (Hurt),21-01-2020,Guddem Siolim,Siolim,3,"(15.6201, 73.7772)",Low,LocalArea
47,Anjuna_Ps,2020,Assault (Hurt),28-01-2020,Jungle Hostel Vagator,Vagator,4,"(15.5916, 73.7441)",Medium,InHouse
48,Anjuna_Ps,2020,Assault (Hurt),18-03-2020,Tito Anjuna,Anjuna,3,"(15.5851, 73.7433)",High,ClubArea
49,Anjuna_Ps,2020,Assault (Hurt),18-03-2020,Anjuna Tito,Anjuna,3,"(15.5851, 73.7433)",High,ClubArea
50,Anjuna_Ps,2020,Assault (Hurt),26-04-2020,Madhlo Vaddo Assagao,Assagao,5,"(15.6003, 73.7502)",Low,LocalArea
51,Anjuna_Ps,2020,Assault (Hurt),10-06-2020,Continental Hotel Arpora,Arpora,2,"(15.5728, 73.7677)",Medium,InHouse
52,Anjuna_Ps,2020,Assault (Hurt),02-08-2020,Near la Vida Suits Arpora,Arpora,2,"(15.5728, 73.7677)",Medium,InHouse
53,Anjuna_Ps,2020,Assault (Hurt),12-09-2020,Esco Bar & Rest Munag Vaddo Assagao,Assagao,2,"(15.6005, 73.7503)",Medium,ClubArea
54,Anjuna_Ps,2020,Assault (Hurt),09-10-2020,Waddi Siolim,Siolim,2,"(15.6201, 73.7772)",Low,LocalArea
55,Anjuna_Ps,2020,Assault (Hurt),21-10-2020,Ozran Height Vagator,Vagator,4,"(15.5916, 73.7441)",Medium,LocalArea
56,Anjuna_Ps,2020,Assault (Hurt),02-11-2020,Zorwaddo Muddi Anjuna,Anjuna,2,"(15.5849, 73.7439)",Medium,LocalArea
57,Anjuna_Ps,2020,Assault (Hurt),14-11-2020,Sim Vaddo Arpora,Arpora,3,"(15.5728, 73.7677)",Medium,LocalArea
58,Anjuna_Ps,2020,Assault (Hurt),24-11-2020,Sankwadi Arpora,Arpora,5,"(15.5728, 73.7677)",Medium,LocalArea
